configuration_accession,modality,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,stage,reason,message
IGVFFI6115LRXW,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5695GVNO,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well3D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6124EGXB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9883OOYA,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well2C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6191JEYP,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4433CDFU,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well2F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6292PSYW,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS3976EEWC,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_DNA_day16_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI6324ZTES,,"Charles Gersbach, Duke",Ruhi Rai,functional characterization,IGVFDS8404CSTN,in vitro CRISPR screen using single-cell RNA-seq,Perturb-seq,charles-gersbach:hPA-Seqspec-perturbseq-10xlane2-GEX-L2,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI6356XXGS,rna,"Hao Wu, UPenn",Hongjie Zhang,networks,IGVFDS4129GKUC,single cell new transcription sequencing,scNT-seq2,hao-wu:scNTseq_donor_370_day8.yaml,0.3.0,0.4.0,enumerate_files,seqspec_file_error,curl exited with status exit status: 56 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI6356XXGS/@@download/IGVFFI6356XXGS.yaml.gz': curl: (56) Recv failure: Connection reset by peer
IGVFFI6420LILR,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4110RIIO,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well2G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI6434EGGA,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS7930QJVE,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day18_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI6451LZBU,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0115ZUKE,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day6_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI6452SUES,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5170OPLE,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well1G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
