configuration_accession,modality,modality_count,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,requested_reads,requested_reads_total,expected_fastq_count,supplied_fastq_count,controlled_access,report_path,run_status,pass_count,warning_count,error_count,interpretation_count
IGVFFI0534CLQD,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS0783WGAL,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0534CLQD/rna.json,cached,14,5,0,3
IGVFFI0534PCXE,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS1992IYHH,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0534PCXE/atac.json,cached,18,2,0,5
IGVFFI0535LWJW,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5205JRNX,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0535LWJW/rna.json,cached,14,5,0,3
IGVFFI0535YLJK,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS8948WYQH,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0535YLJK/atac.json,cached,18,2,0,5
IGVFFI0538AGSG,atac,1,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS7225BIWR,single-nucleus ATAC-seq,10x multiome,jimmie-ye:seqspec-XX2-SC1_snATAC_S1,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0538AGSG/atac.json,cached,18,2,0,5
IGVFFI0538LUKL,atac,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS4853JTJJ,single-nucleus ATAC-seq,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp11_atac_10x3_NGS1,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0538LUKL/atac.json,cached,18,2,0,5
IGVFFI0540TKZT,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS7621IOAH,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_893_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0540TKZT/rna.json,cached,16,6,0,10
IGVFFI0541PYCV,rna,1,"Charles Gersbach, Duke",Alejandro Barrera,functional characterization,IGVFDS4578JLLH,in vitro CRISPR screen using single-cell RNA-seq,Perturb-seq,charles-gersbach:mhc-perturb-seq-npc-krab-unenriched-expr3-run1-lane1-rna-seqspec-config-file,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0541PYCV/rna.json,cached,10,1,0,2
IGVFFI0541QZOD,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3355ZETN,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1072_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0541QZOD/atac.json,cached,15,6,0,10
IGVFFI0542IVXY,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS5996MZTB,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0542IVXY/atac.json,cached,18,2,0,5
